session_id,order_id,variant,device_type,user_type,product_category,order_value_eur,products_in_order,conversion_time_hours
100014,ORD200000,B,tablet,returning,lighting,64.98,1,13.54
100015,ORD200001,A,desktop,new,sofa,1571.68,1,30.22
100025,ORD200002,B,tablet,returning,sofa,680.39,1,16.06
100027,ORD200003,A,mobile,returning,sofa,993.65,1,34.61
100055,ORD200004,A,desktop,new,decor,79.28,2,0.64
100057,ORD200005,A,desktop,new,sofa,1489.47,1,33.07
100098,ORD200006,B,desktop,returning,decor,157.9375,2,27.88
100102,ORD200007,B,mobile,new,bed,1548.462,1,4.17
100116,ORD200008,A,mobile,returning,dining,755.05,1,33.26
100135,ORD200009,B,desktop,new,bed,1559.2065,1,0.74
100157,ORD200010,A,desktop,new,dining,655.92,1,12.11
100171,ORD200011,B,mobile,returning,decor,237.5,1,49.07
100216,ORD200012,A,desktop,new,lighting,258.83,1,4.06
100218,ORD200013,B,mobile,returning,dining,496.736,1,9.54
100246,ORD200014,B,desktop,new,decor,98.03999999999999,3,23.74
100265,ORD200015,B,mobile,returning,bed,699.1334999999999,1,0.98
100291,ORD200016,B,desktop,new,bed,1710.0,1,8.74
100293,ORD200017,A,mobile,returning,bed,621.98,1,4.6
100305,ORD200018,A,tablet,new,sofa,803.56,1,0.49
100309,ORD200019,A,desktop,returning,bed,954.64,2,5.59
100338,ORD200020,A,mobile,new,bed,1141.93,1,9.13
100379,ORD200021,B,mobile,returning,decor,90.649,1,37.51
100386,ORD200022,A,desktop,returning,sofa,2237.33,1,24.43
100389,ORD200023,B,mobile,returning,bed,1333.1825,1,4.14
100396,ORD200024,B,tablet,returning,lighting,380.0,2,0.62
100429,ORD200025,A,mobile,returning,sofa,2250.93,2,18.56
100444,ORD200026,B,mobile,new,dining,618.5355,2,10.14
100495,ORD200027,A,mobile,returning,sofa,1285.71,1,39.37
100524,ORD200028,A,desktop,returning,sofa,2500.0,2,2.89
100532,ORD200029,A,mobile,returning,sofa,1195.22,1,17.86
100553,ORD200030,B,mobile,new,sofa,1057.5684999999999,2,6.8
100574,ORD200031,B,mobile,returning,dining,611.9519999999999,1,19.66
100594,ORD200032,A,desktop,returning,sofa,1330.32,2,45.2
100600,ORD200033,A,desktop,new,lighting,122.45,1,8.82
100660,ORD200034,B,mobile,new,sofa,2375.0,1,46.28
100688,ORD200035,A,desktop,returning,bed,1800.0,3,7.37
100689,ORD200036,B,mobile,returning,bed,728.5074999999999,1,8.1
100734,ORD200037,A,desktop,returning,bed,695.44,1,95.21
100737,ORD200038,A,mobile,new,lighting,218.48,1,14.47
100749,ORD200039,A,desktop,returning,sofa,1159.72,1,3.88
100771,ORD200040,B,desktop,returning,decor,49.238499999999995,1,99.86
100773,ORD200041,A,mobile,new,dining,942.84,1,11.52
100814,ORD200042,B,mobile,returning,lighting,196.64999999999998,1,37.94
100850,ORD200043,A,mobile,new,sofa,1893.06,1,3.39
100852,ORD200044,A,mobile,returning,sofa,1855.26,1,19.64
100875,ORD200045,A,mobile,returning,sofa,2500.0,2,33.37
100903,ORD200046,A,mobile,new,bed,931.2,1,3.13
100918,ORD200047,B,desktop,returning,dining,699.8935,2,12.31
100932,ORD200048,B,desktop,returning,lighting,187.47299999999998,2,45.7
100954,ORD200049,B,desktop,new,bed,883.2055,2,6.84
100955,ORD200050,A,desktop,returning,sofa,1568.05,2,90.47
100958,ORD200051,A,mobile,returning,lighting,356.08,2,129.04
100983,ORD200052,B,desktop,new,decor,131.442,1,0.44
